#EXPORTTYPE:                 ;DATA COMPARE                                           
#FILE:                       ;26.07.23_NH4Cl_��_3kmin_30-500�.ngb-ds5                
#FORMAT:                     ;NETZSCH5                                               
#FTYPE:                      ;ANSI                                                   
#IDENTITY:                   ;NH4Cl_X4                                               
#DECIMAL:                    ;COMMA                                                  
#SEPARATOR:                  ;SEMICOLON                                              
#MTYPE:                      ;DSC                                                    
#INSTRUMENT:                 ;NETZSCH STA 449F5                                      
#PROJECT:                    ;                                                       
#DATE/TIME:                  ;26.07.2023 13:34:14 (UTC+3)                            
#CORR. FILE:                 ;11.05.23_correction for composite-3kmin_30-500�.ngb-bs5
#TEMPCAL:                    ;3kmin-N2_washer+Al2O3+cover.ngb-ts5                    
#SENSITIVITY:                ;3kmin-N2_washer+Al2O3+cover.ngb-es5                    
#LABORATORY:                 ;                                                       
#OPERATOR:                   ;                                                       
#REMARK:                     ;                                                       
#SAMPLE:                     ;1                                                      
#SAMPLE MASS /mg:            ;21,8907                                                
#MATERIAL:                   ;                                                       
#REFERENCE:                  ;                                                       
#REFERENCE MASS /mg:         ;0                                                      
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                       
#SAMPLE CRUCIBLE MASS /mg:   ;0                                                      
#REFERENCE CRUCIBLE MASS /mg:;0                                                      
#DSC RANGE /�V:              ;5000                                                   
#TG RANGE /mg:               ;35000                                                  
#TAU-R:                      ;---                                                    
#CORR. CODE:                 ;020                                                    
#EXO:                        ;+1                                                     
#RANGE:                      ;30�C/3,0(K/min)/500�C                                  
#SEGMENT:                    ;S1/1                                                   
#SEG. 1:                     ;30�C/3,0(K/min)/500�C                                  

##Temp./�C;DSC/(mW/mg)
230.81015;-0.07691716
231.76506;-0.08191874
232.71998;-0.08641409
233.67489;-0.09174849
234.62981;-0.09685882
235.58472;-0.1026
236.53964;-0.10786
237.49455;-0.11326
238.44947;-0.11962
239.40438;-0.12486
240.3593;-0.13129
241.31421;-0.13771
242.26913;-0.14428
243.22404;-0.15164
244.17896;-0.15906
245.13387;-0.16715
246.08879;-0.17491
247.0437;-0.18296
247.99862;-0.19285
248.95353;-0.20132
249.90845;-0.20984
250.86336;-0.21938
251.81828;-0.22911
252.77319;-0.23866
253.72811;-0.24938
254.68302;-0.26062
255.63794;-0.27244
256.59285;-0.28379
257.54777;-0.29597
258.50268;-0.30792
259.4576;-0.32153
260.41251;-0.33442
261.36743;-0.34866
262.32234;-0.36275
263.27726;-0.37762
264.23217;-0.39295
265.18709;-0.40856
266.142;-0.42415
267.09692;-0.4417
268.05183;-0.45836
269.00675;-0.47658
269.96166;-0.4949
270.91658;-0.51317
271.87149;-0.53253
272.82641;-0.55212
273.78132;-0.57243
274.73624;-0.59346
275.69115;-0.61396
276.64607;-0.63651
277.60098;-0.65919
278.5559;-0.68192
279.51081;-0.7062
280.46573;-0.73008
281.42064;-0.75541
282.37556;-0.78131
283.33047;-0.8071
284.28539;-0.83567
285.2403;-0.86105
286.19522;-0.88978
287.15013;-0.9183
288.10505;-0.94731
289.05996;-0.97763
290.01488;-1.00719
290.96979;-1.03826
291.92471;-1.07037
292.87962;-1.10251
293.83454;-1.13653
294.78945;-1.16997
295.74437;-1.20335
296.69928;-1.23793
297.6542;-1.27101
298.60911;-1.30625
299.56403;-1.34448
300.51894;-1.3776
301.47386;-1.41169
302.42877;-1.44673
303.38369;-1.48614
304.3386;-1.52403
305.29352;-1.55738
306.24843;-1.59341
307.20335;-1.62793
308.15826;-1.65998
309.11318;-1.68399
310.06809;-1.70788
311.02301;-1.73825
311.97792;-1.77309
312.93284;-1.80326
313.88775;-1.83474
314.84267;-1.85196
315.79758;-1.86982
316.7525;-1.89159
317.70741;-1.91002
318.66233;-1.91249
319.61724;-1.89249
320.57216;-1.88318
321.52707;-1.87882
322.48199;-1.86076
323.4369;-1.82767
324.39182;-1.7639
325.34673;-1.68444
326.30165;-1.56089
327.25656;-1.38725
328.21148;-0.94066
329.16639;-0.5896
330.12131;-0.38517
331.07622;-0.26427
332.03114;-0.19116
332.98605;-0.14775
333.94097;-0.12291
334.89588;-0.1092
335.8508;-0.10167
336.80571;-0.09831521
337.76063;-0.09610638
338.71554;-0.0948293
339.67046;-0.09536621
340.62537;-0.09504075
341.58029;-0.09516312
342.5352;-0.09524599
343.49012;-0.09540096
344.44503;-0.0958845
345.39995;-0.09652604
346.35486;-0.0967538
347.30978;-0.09703069
348.26469;-0.09711382
349.21961;-0.09749329
350.17452;-0.09807943
351.12944;-0.09821768
352.08435;-0.0986119
353.03927;-0.09977398
353.99418;-0.09988176
354.9491;-0.10024
355.90401;-0.10067
356.85893;-0.10086
357.81384;-0.10138
358.76876;-0.10147
359.72367;-0.10225
360.67859;-0.10216
361.6335;-0.10407
362.58842;-0.10344
363.54333;-0.10316
364.49825;-0.10346
365.45316;-0.10401
366.40808;-0.10425
367.36299;-0.10532
368.31791;-0.10534
369.27282;-0.10623
370.22774;-0.10674
371.18265;-0.10724
372.13757;-0.1078
373.09248;-0.10818
374.0474;-0.10897
375.00231;-0.10985
375.95723;-0.11018
376.91214;-0.11046
377.86706;-0.11157
378.82197;-0.11219
379.77689;-0.11286
380.7318;-0.11299
381.68672;-0.11433
382.64163;-0.11453
383.59655;-0.11537
384.55146;-0.11673
385.50638;-0.11763
386.46129;-0.1185
387.41621;-0.11911
388.37112;-0.11998
389.32604;-0.12079
390.28095;-0.12149
391.23587;-0.12262
392.19078;-0.12287
393.1457;-0.12438
394.10061;-0.12518
395.05553;-0.12636
396.01044;-0.12711
396.96536;-0.12794
397.92027;-0.12884
398.87519;-0.12974
399.8301;-0.13086
400.78502;-0.13132
401.73993;-0.13267
402.69485;-0.13344
403.64976;-0.13451
404.60468;-0.13489
405.55959;-0.13633
406.51451;-0.13699
407.46942;-0.13798
408.42434;-0.13805
409.37925;-0.13831
410.33417;-0.13895
411.28908;-0.13979
412.244;-0.13997
413.19891;-0.14063
414.15383;-0.14056
415.10874;-0.141
416.06366;-0.14161
417.01857;-0.14185
417.97349;-0.14217
