#EXPORTTYPE:                 ;DATA COMPARE                                                  
#FILE:                       ;26.07.23_NH4Cl_��_10kmin_30-500�.ngb-ds5                      
#FORMAT:                     ;NETZSCH5                                                      
#FTYPE:                      ;ANSI                                                          
#IDENTITY:                   ;NH4Cl_��                                                      
#DECIMAL:                    ;COMMA                                                         
#SEPARATOR:                  ;SEMICOLON                                                     
#MTYPE:                      ;DSC                                                           
#INSTRUMENT:                 ;NETZSCH STA 449F5                                             
#PROJECT:                    ;                                                              
#DATE/TIME:                  ;26.07.2023 10:30:10 (UTC+3)                                   
#CORR. FILE:                 ;29.04.22_correction for composite-10kmin_30+500_N2-120.ngb-bs5
#TEMPCAL:                    ;10kmin-N2_washer+Al2O3+cover.ngb-ts5                          
#SENSITIVITY:                ;10kmin-N2_washer+Al2O3+cover.ngb-ts5.ngb-es5                  
#LABORATORY:                 ;                                                              
#OPERATOR:                   ;                                                              
#REMARK:                     ;                                                              
#SAMPLE:                     ;1                                                             
#SAMPLE MASS /mg:            ;23,8825                                                       
#MATERIAL:                   ;                                                              
#REFERENCE:                  ;                                                              
#REFERENCE MASS /mg:         ;0                                                             
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                              
#SAMPLE CRUCIBLE MASS /mg:   ;0                                                             
#REFERENCE CRUCIBLE MASS /mg:;0                                                             
#DSC RANGE /�V:              ;5000                                                          
#TG RANGE /mg:               ;35000                                                         
#TAU-R:                      ;---                                                           
#CORR. CODE:                 ;020                                                           
#EXO:                        ;+1                                                            
#RANGE:                      ;30�C/10,0(K/min)/500�C                                        
#SEGMENT:                    ;S1/1                                                          
#SEG. 1:                     ;30�C/10,0(K/min)/500�C                                        

##Temp./�C;DSC/(mW/mg)
245.13387;-0.23482
246.08879;-0.24134
247.0437;-0.24744
247.99862;-0.25462
248.95353;-0.26144
249.90845;-0.26835
250.86336;-0.27617
251.81828;-0.28421
252.77319;-0.29218
253.72811;-0.30108
254.68302;-0.30965
255.63794;-0.3185
256.59285;-0.32866
257.54777;-0.33844
258.50268;-0.34855
259.4576;-0.35885
260.41251;-0.3703
261.36743;-0.38114
262.32234;-0.39323
263.27726;-0.40537
264.23217;-0.41791
265.18709;-0.43093
266.142;-0.44472
267.09692;-0.45815
268.05183;-0.47305
269.00675;-0.48738
269.96166;-0.50298
270.91658;-0.51895
271.87149;-0.53528
272.82641;-0.55193
273.78132;-0.56968
274.73624;-0.5881
275.69115;-0.60668
276.64607;-0.62594
277.60098;-0.64633
278.5559;-0.6664
279.51081;-0.68754
280.46573;-0.70975
281.42064;-0.73227
282.37556;-0.7556
283.33047;-0.77961
284.28539;-0.80397
285.2403;-0.82959
286.19522;-0.85545
287.15013;-0.88239
288.10505;-0.91024
289.05996;-0.93874
290.01488;-0.9676
290.96979;-0.99768
291.92471;-1.02829
292.87962;-1.0602
293.83454;-1.09104
294.78945;-1.12658
295.74437;-1.16088
296.69928;-1.19605
297.6542;-1.23243
298.60911;-1.26917
299.56403;-1.30708
300.51894;-1.34722
301.47386;-1.38699
302.42877;-1.42835
303.38369;-1.46972
304.3386;-1.51284
305.29352;-1.5571
306.24843;-1.60235
307.20335;-1.64891
308.15826;-1.69633
309.11318;-1.74431
310.06809;-1.79273
311.02301;-1.84332
311.97792;-1.89432
312.93284;-1.94599
313.88775;-1.99879
314.84267;-2.05415
315.79758;-2.10944
316.7525;-2.16636
317.70741;-2.22506
318.66233;-2.28426
319.61724;-2.34462
320.57216;-2.40605
321.52707;-2.46623
322.48199;-2.52625
323.4369;-2.58732
324.39182;-2.64975
325.34673;-2.7108
326.30165;-2.7736
327.25656;-2.8365
328.21148;-2.90145
329.16639;-2.96747
330.12131;-3.03125
331.07622;-3.09851
332.03114;-3.16613
332.98605;-3.2366
333.94097;-3.30675
334.89588;-3.37618
335.8508;-3.44078
336.80571;-3.50114
337.76063;-3.56018
338.71554;-3.61909
339.67046;-3.67698
340.62537;-3.74071
341.58029;-3.7996
342.5352;-3.86645
343.49012;-3.92966
344.44503;-3.99606
345.39995;-4.06579
346.35486;-4.12965
347.30978;-4.1923
348.26469;-4.25329
349.21961;-4.32092
350.17452;-4.3948
351.12944;-4.46764
352.08435;-4.54756
353.03927;-4.61465
353.99418;-4.67056
354.9491;-4.70977
355.90401;-4.74368
356.85893;-4.78699
357.81384;-4.84221
358.76876;-4.90602
359.72367;-4.95105
360.67859;-4.99695
361.6335;-5.04814
362.58842;-5.09709
363.54333;-5.13629
364.49825;-5.1767
365.45316;-5.18929
366.40808;-5.19029
367.36299;-5.17127
368.31791;-5.13687
369.27282;-5.08221
370.22774;-4.99878
371.18265;-4.87879
372.13757;-4.69498
373.09248;-4.40335
374.0474;-4.04603
375.00231;-3.54245
375.95723;-2.95773
376.91214;-2.52478
377.86706;-2.17148
378.82197;-1.88111
379.77689;-1.63848
380.7318;-1.43605
381.68672;-1.25917
382.64163;-1.1129
383.59655;-0.98936
384.55146;-0.88099
385.50638;-0.79101
386.46129;-0.71694
387.41621;-0.65324
388.37112;-0.5991
389.32604;-0.55432
390.28095;-0.51664
391.23587;-0.48585
392.19078;-0.46007
393.1457;-0.43926
394.10061;-0.42214
395.05553;-0.40815
396.01044;-0.39639
396.96536;-0.38752
397.92027;-0.38025
398.87519;-0.37434
399.8301;-0.36947
400.78502;-0.36636
401.73993;-0.36363
402.69485;-0.36165
403.64976;-0.35984
404.60468;-0.3598
405.55959;-0.35876
406.51451;-0.35882
407.46942;-0.35878
408.42434;-0.35953
409.37925;-0.35954
410.33417;-0.36033
411.28908;-0.36054
412.244;-0.36212
413.19891;-0.36329
414.15383;-0.36427
415.10874;-0.36552
416.06366;-0.36678
417.01857;-0.36809
417.97349;-0.36929
418.9284;-0.37154
419.88332;-0.37324
420.83823;-0.37532
421.79315;-0.3768
422.74806;-0.37828
423.70298;-0.38029
424.65789;-0.3819
425.61281;-0.38372
426.56772;-0.38604
427.52264;-0.38837
428.47755;-0.39081
429.43247;-0.39252
430.38738;-0.39499
431.3423;-0.39672
432.29721;-0.39922
433.25213;-0.40194
434.20704;-0.40443
435.16196;-0.40747
436.11687;-0.40978
437.07179;-0.41297
438.0267;-0.41564
438.98162;-0.41901
439.93653;-0.42219
440.89145;-0.42524
441.84636;-0.4287
442.80128;-0.43206
443.75619;-0.43495
444.71111;-0.4391
445.66602;-0.44237
446.62094;-0.44616
447.57585;-0.44987
448.53077;-0.45324
449.48568;-0.4577
450.4406;-0.46136
451.39551;-0.46461
452.35043;-0.46774
453.30534;-0.4718
454.26026;-0.47524
455.21517;-0.47809
456.17009;-0.48161
457.125;-0.48443
458.07992;-0.48721
459.03483;-0.48955
459.98975;-0.4925
460.94466;-0.49434
461.89958;-0.49617
462.85449;-0.498
463.80941;-0.4994
